Name of customer,Vehicle,Tire brand,Weather details,Loyalty points,Mileage rating,Load capacity,Speed rating,Treadwear warranty,Noise level,Fuel efficiency,Comfort,Handling,Grip,Price
Diana Garcia,Sedan,Dunlop,Sunny,984,8,2,2,5,9,3,6,6,2,10
Diana Garcia,Truck,Hankook,Icy,374,5,4,5,6,8,4,6,9,5,3
Edward Miller,Minivan,Michelin,Sunny,260,10,1,5,6,9,3,3,8,10,6
Bob Smith,Hatchback,Bridgestone,Foggy,627,9,10,6,7,4,10,3,9,3,7
George Williams,Truck,Goodyear,Foggy,136,10,5,9,10,2,6,1,6,3,10
Bob Smith,Truck,Continental,Sunny,104,10,7,7,2,8,7,7,7,9,3
Helen Jones,Sedan,Michelin,Icy,924,7,4,2,4,1,3,5,4,7,10
Bob Smith,Hatchback,Pirelli,Snowy,227,6,3,2,5,1,4,3,5,1,2
Fiona Lee,Hatchback,Michelin,Icy,850,9,8,10,2,8,3,2,1,5,5
Bob Smith,SUV,Hankook,Cloudy,471,5,4,9,4,6,4,10,6,2,6
George Williams,Hatchback,Goodyear,Cloudy,628,5,6,10,6,8,9,6,9,8,1
Bob Smith,Motorcycle,Bridgestone,Icy,224,7,3,5,7,7,4,9,2,4,2
Alice Johnson,Minivan,Bridgestone,Snowy,522,7,2,3,7,3,9,9,4,8,5
Diana Garcia,SUV,Hankook,Snowy,790,10,10,10,10,9,10,1,7,10,10
Charlie Brown,Motorcycle,Dunlop,Cloudy,820,7,5,1,3,4,1,6,10,3,7
Bob Smith,Sedan,Goodyear,Cloudy,729,5,2,1,9,1,7,2,9,1,6
Bob Smith,Minivan,Goodyear,Snowy,202,9,6,2,8,6,4,3,2,8,10
Bob Smith,Truck,Pirelli,Snowy,229,6,10,7,1,10,5,4,5,8,9
Irene Lopez,Motorcycle,Bridgestone,Foggy,351,5,6,3,9,6,2,6,2,3,4
George Williams,Coupe,Hankook,Foggy,455,5,5,9,5,1,7,1,2,1,4
James Brown,Minivan,Hankook,Sunny,433,5,4,7,10,5,10,4,4,2,3
Fiona Lee,Minivan,Goodyear,Snowy,315,4,4,7,9,3,5,10,6,3,4
Diana Garcia,Hatchback,Michelin,Snowy,828,3,5,4,10,9,1,1,3,7,6
Helen Jones,SUV,Hankook,Rainy,641,2,7,2,6,4,2,7,8,9,8
Helen Jones,Hatchback,Goodyear,Sunny,45,2,2,3,3,1,10,4,5,8,4
Helen Jones,Truck,Hankook,Sunny,524,4,4,5,3,1,8,3,5,2,6
Helen Jones,Hatchback,Dunlop,Cloudy,40,5,8,3,9,10,9,3,2,2,3
George Williams,SUV,Goodyear,Sunny,275,7,10,8,4,2,9,5,9,7,2
Edward Miller,Motorcycle,Dunlop,Icy,534,4,9,8,4,9,8,6,1,10,3
Diana Garcia,SUV,Michelin,Rainy,0,4,4,9,4,9,3,2,2,9,2
Fiona Lee,Sedan,Hankook,Sunny,420,3,10,6,7,2,6,8,7,7,8
Diana Garcia,Sedan,Pirelli,Foggy,133,4,3,7,9,6,10,1,2,4,6
Charlie Brown,Minivan,Michelin,Foggy,445,7,10,10,3,7,2,8,2,7,10
James Brown,Hatchback,Continental,Icy,819,3,4,5,9,5,8,10,8,1,3
Fiona Lee,Hatchback,Hankook,Cloudy,73,2,2,9,7,10,3,4,10,1,6
Helen Jones,Motorcycle,Hankook,Cloudy,723,5,9,5,3,4,6,10,4,9,3
James Brown,Motorcycle,Goodyear,Icy,314,8,7,2,7,1,7,6,8,1,6
James Brown,Sedan,Continental,Rainy,168,4,1,5,10,3,9,8,9,9,8
George Williams,Coupe,Dunlop,Snowy,374,10,6,4,9,3,8,4,4,9,2
Diana Garcia,Hatchback,Dunlop,Cloudy,107,10,3,2,7,4,1,1,10,8,9
Charlie Brown,Coupe,Pirelli,Sunny,831,7,5,6,3,5,9,10,4,8,5
Bob Smith,SUV,Hankook,Icy,834,6,9,3,1,2,5,9,8,4,8
James Brown,Sedan,Pirelli,Sunny,34,3,1,5,5,4,10,6,4,1,3
Bob Smith,Hatchback,Michelin,Snowy,391,10,5,1,1,3,10,2,9,3,8
Diana Garcia,Motorcycle,Michelin,Sunny,542,7,6,3,10,1,9,7,1,10,5
Alice Johnson,Sedan,Hankook,Snowy,306,6,7,2,1,1,1,7,4,6,10
Helen Jones,Sedan,Pirelli,Foggy,481,2,5,5,2,4,9,7,1,3,7
Helen Jones,SUV,Continental,Sunny,902,8,1,1,4,6,7,10,2,6,8
Bob Smith,Truck,Michelin,Snowy,30,10,8,6,3,9,9,6,4,7,3
Charlie Brown,Hatchback,Continental,Cloudy,297,5,5,3,1,6,9,1,3,1,9
